Tweet Date,Sentence,Quote Count,Reply Count,Retweet Count,Favorite Count,Sentiment,English Translation
Thu Feb 29 11:21:27 +0000 2024,"Gk muluk muluk, 100,000 lot saham BBCA aja",0,0,0,0,Positive,"Not too ambitious, just 100,000 lots of BBCA shares"
Thu Feb 29 10:11:05 +0000 2024,"BCA Expoversary 2024 menawarkan promo suku bunga spesial mulai dari 2,67% untuk KPR maupun KKB. [URL] [HASHTAG] [HASHTAG] [HASHTAG]",0,0,0,0,Neutral,BCA Expoversary 2024 offers special interest rate promos starting from 2.67% for KPR and KKB. [URL] [HASHTAG] [HASHTAG] [HASHTAG]
Thu Feb 29 10:06:04 +0000 2024,[USERNAME] saham bca nya menyusul ya 🙂,0,0,0,0,Positive,[USERNAME] BCA shares will follow 🙂
Thu Feb 29 07:42:09 +0000 2024,PT Bank BCA Syariah (BCA Syariah) turut memeriahkan BCA Expoversary 2024 dengan menawarkan beragam solusi pembiayaan syariah. [URL] [HASHTAG] [HASHTAG] [HASHTAG],0,0,0,0,Neutral,PT Bank BCA Syariah (BCA Syariah) also enlivened the BCA Expoversary 2024 by offering a variety of sharia financing solutions. [URL] [HASHTAG] [HASHTAG] [HASHTAG]
Thu Feb 29 06:06:17 +0000 2024,"[USERNAME] Begitu byk saham kamu memilih saham itu kalau uangnya gede bisa nyicil big banks nder kalau koreksi lagi Big banks itu BBNI, BBRI, BBCA, BMRI",0,0,0,1,Positive,"[USERNAME] So many stocks you choose those stocks if you have a lot of money you can buy them in installments at big banks. If you correct it again, big banks are BBNI, BBRI, BBCA, BMRI."
Thu Feb 29 05:29:15 +0000 2024,"[USERNAME] Drpd bunga mending hal² yg berguna, yaaa minimal kek saham BCA satu slot, atau saham GG satu slot ehehehehhehe 😗",0,0,0,0,Positive,"[USERNAME] Rather than flowers, it's better to have useful things, at least like one slot of BCA shares, or one slot of GG shares ehehehehhehe 😗"
Thu Feb 29 04:08:37 +0000 2024,"[USERNAME] [USERNAME] Pilihan RDN di Mirae Asset ada banyak ya mas. Tapi, untuk tarik dana bisa pake bank apa saja. Misalnya masnya pake rekening Blu ya mungkin nanti pas pembukaan akun bisa pake BCA untuk RDN.",0,0,0,0,Neutral,"[USERNAME] [USERNAME] There are many RDN options in Mirae Asset, sir. However, to withdraw funds, you can use any bank. For example, if you use a Blu account, maybe later when opening an account you can use BCA for RDN."
Thu Feb 29 04:02:04 +0000 2024,[USERNAME] [USERNAME] pak buat sekuritas mirae apakah bisa pakai akun blu by bca?,0,1,0,0,Neutral,"[USERNAME] [USERNAME] Sir, for Mirae securities, can you use a Blu by BCA account?"
Thu Feb 29 03:41:47 +0000 2024,"[USERNAME] Bbca, soalnya stabil",0,0,0,0,Positive,"[USERNAME] Bbca, because it's stable"
Thu Feb 29 03:34:36 +0000 2024,Menggelar pameran masih menjadi salah satu strategi andalan perbankan untuk mendorong penyaluran kredit konsumer. Seperti yang dilakukan PT Bank Central Asia Tbk (BCA) dan PT Bank Mega Tbk yang awal tahun ini sudah… [URL] [HASHTAG] [HASHTAG] [HASHTAG],0,1,0,1,Neutral,Holding exhibitions is still one of the mainstay strategies of banks to encourage consumer credit distribution. As done by PT Bank Central Asia Tbk (BCA) and PT Bank Mega Tbk which earlier this year already… [URL] [HASHTAG] [HASHTAG] [HASHTAG]
Thu Feb 29 02:51:24 +0000 2024,"[USERNAME] Jodoh dateng, duit 10M, sama saham (bca, bri, dll). Bismillah soon punya Aamiin",0,0,0,0,Positive,"[USERNAME] A soulmate has arrived, 10M in cash, and shares (BCA, BRI, etc.). Bismillah, soon you will have it, Aamiin"
Thu Feb 29 02:26:05 +0000 2024,"Indeks Bisnis-27 Melemah Tertekan Saham BBRI, BBCA, MAPI [URL]",0,0,0,0,Negative,"Business-27 Index Weakens Due to Pressure from BBRI, BBCA, MAPI Shares [URL]"
Thu Feb 29 01:22:56 +0000 2024,[USERNAME] Bbca tahun 2020 karna yakin wkwkkw,0,0,0,0,Positive,[USERNAME] Bbca in 2020 because I'm sure wkwkkw
Thu Feb 29 01:06:31 +0000 2024,"[USERNAME] 2020 pas pandemi. Bbri, dikasih modal papa suruh ambil bca. Tapi kok mahal banget😭",0,0,0,1,Negative,"[USERNAME] 2020 during the pandemic. Bbri, given capital by dad told me to take BCA. But why is it so expensive😭"
Wed Feb 28 23:44:47 +0000 2024,"[USERNAME] bbca, tapi dah dijual. bismillah taun ini kebeli lagi bbrp slot 😇",0,0,0,0,Positive,"[USERNAME] bbca, but it's been sold. Bismillah this year I'll buy a few more slots 😇"
Wed Feb 28 23:42:16 +0000 2024,"trs aku ngimpi, di mimpiku ada yg bilang 'minimal tuh punya 8lot saham bbca' APAAN DEH😭😭🤣🤣🤣🤣🤣",0,1,0,0,Positive,"then i had a dream, in my dream someone said 'at least have 8 lots of BBCA shares' WHAT THE HELL 😭😭🤣🤣🤣🤣🤣"
Wed Feb 28 21:58:44 +0000 2024,[USERNAME] [USERNAME] doakan suatu saat punya tu bbca,0,0,0,0,Positive,[USERNAME] [USERNAME] pray that one day you will have that BBCA
